"","X1","EventID","CollectionDate","Season","DN","Lat","Long","Station","Strata","SAMPLENUM","SPECCODE","CountType","SUMGROUP","Density","Biomass","CollectionDateString","MONTH","Den.Liter","RotGENERA","Den.Liter_New","Bio.Liter_New","Zoop_GENERA"
"1",2880,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","CYCCOPE","MACRO","CYCLOPOID",246.9734693,574.2763336,20180410,"Apr",2.469734693,NA,0.246973469,0.574276334,"Cyclopoids"
"2",2881,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","DAPGALEM","MACRO","DAPHNID",0.579749928,0.442311163,20180410,"Apr",0.005797499,NA,0.00058,0.000442,"Cladocerans"
"3",2882,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","DIACOPE","MACRO","CALANOID",15.65324805,52.20834917,20180410,"Apr",0.156532481,NA,0.015653248,0.052208349,"Calanoids"
"4",2883,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","DIYTHOM","MACRO","CYCLOPOID",386.113452,2059.25295,20180410,"Apr",3.86113452,NA,0.386113452,2.05925295,"Cyclopoids"
"5",2884,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","LEOMINU","MACRO","CALANOID",1.159499856,8.30896028,20180410,"Apr",0.011594999,NA,0.0011595,0.00830896,"Calanoids"
"6",2885,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","LEOSICI","MACRO","CALANOID",97.39798788,1416.257874,20180410,"Apr",0.973979879,NA,0.097397988,1.416257874,"Calanoids"
"7",2886,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","LIMMACR","MACRO","LIMNO",26.08874675,1556.87246,20180410,"Apr",0.260887468,NA,0.026088747,1.55687246,"Calanoids"
"8",2934,"stn25_20180409_D_LG","4/9/2018","Early Spring","N",43.51655,-79.08008333,"stn25","wwc","18GO10I73","MYSRELI","MACRO","MYSID",0.960935505,438.9670136,20180409,"Apr",0.009609355,NA,0.000961,0.438967014,"Mysis"
"9",2888,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","SKIOREG","MACRO","CALANOID",15.07349812,159.2174537,20180410,"Apr",0.150734981,NA,0.015073498,0.159217454,"Calanoids"
"10",2879,"stn49_20180410_D_LG","4/10/2018","Early Spring","D",43.77221667,-77.43795,"stn49","wwc","18GO09I73","BOSLONG","MACRO","BOSMINID",1.159499856,0.86240043,20180410,"Apr",0.011594999,NA,0.0011595,0.000862,"Cladocerans"
"11",2889,"stn55_20180411_D_LG","4/11/2018","Early Spring","D",43.44381667,-77.44155,"stn55","wwc","18GO09I93","CYCCOPE","MACRO","CYCLOPOID",1353.472094,3915.563053,20180411,"Apr",13.53472094,NA,1.353472094,3.915563053,"Cyclopoids"
"12",2890,"stn55_20180411_D_LG","4/11/2018","Early Spring","D",43.44381667,-77.44155,"stn55","wwc","18GO09I93","DAPSP","MACRO","DAPHNID",3.957520743,4.718267055,20180411,"Apr",0.039575207,NA,0.003957521,0.004718267,"Cladocerans"
